distancia,SLSQP,Cobyla,SPSA,NELDER_MEAD,AQGD,F_BFGS
0.3,-0.6018037107599072,-0.6018037022018765,-0.5911229831826605,-0.6018037082714751,-0.5938277585357148,-0.6018037107656746
0.43333333333333335,-0.9739045784170466,-0.9739045600229239,-0.9717784670736112,-0.9739045746945794,-0.963389473999275,-0.9739045784312521
0.5666666666666667,-1.1018363829174809,-1.1018363672427656,-1.1011313937406322,-1.101836380536668,-1.0877495472431886,-1.1018363829503457
0.7,-1.1361894540127162,-1.1361894397239682,-1.135836609694901,-1.1361894522299565,-1.117349034990271,-1.136189454065911
0.8333333333333333,-1.1305487729570152,-1.1305491139363555,-1.1303384435012438,-1.130549139800827,-1.1055749715023693,-1.1305491414881756
0.9666666666666666,-1.1080316065936882,-1.1080316238102292,-1.1077821330082447,-1.108031640378794,-1.075248605984143,-1.1080316424857237
1.1,-1.0791929449548736,-1.079192925565518,-1.0787566719360264,-1.0791929443880561,-1.0365388750291737,-1.079192944968899
1.2333333333333334,-1.04940145065683,-1.0494014361468484,-1.0493792948323408,-1.04940145223534,-0.9944516868938036,-1.0494014525900561
1.3666666666666667,-1.0217949988438741,-1.021794995783496,-1.0217219853547026,-1.0217950009477117,-0.9519378354669807,-1.0217950013783246
1.5,-0.9981493525244829,-0.9981493410851869,-0.9981291042774543,-0.9981493531606633,-0.9108735545943816,-0.9981493534713568
1.6,-0.9834727288635174,-0.9834727247175332,-0.9834319739555704,-0.9834727288631286,-0.8817324499460522,-0.9834727290331415
2.2,-0.9412240270649981,-0.9412237863515656,-0.9398000351582938,-0.9412240335717135,-0.7464013499911557,-0.9412240336932467
2.8,-0.9341509655285802,-0.9341450410770429,-0.9335817085646574,-0.9341510956652943,-0.6716688597517253,-0.9341510956709203
3.4,-0.9332609364755498,-0.9332555586059761,-0.9332091592105487,-0.9332404482995371,-0.6339191329470459,-0.9332610574588698
4.0,-0.9331712885902482,-0.9331713587986975,-0.9331606208758002,-0.9331710564464281,-0.6148699740425586,-0.9331713618149139
